Index,batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
0,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,207,119,10,208,6,10.43697479,0
1,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,207,118,10,208,3,10.52542373,0
2,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,207,117,10,208,2,10.61538462,0
3,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,205,116,10,208,4.5,10.60344828,0
4,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,201,115,10,208,8.4,10.48695652,0
5,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,197,114,10,208,11,10.36842105,0
6,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,197,113,10,208,9.428571429,10.46017699,0
7,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,197,112,10,208,8.25,10.55357143,0
8,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,111,10,208,8,10.59459459,0
9,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,110,10,208,7.2,10.69090909,0
10,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,109,10,208,6.545454545,10.78899083,0
11,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,108,10,208,6,10.88888889,0
12,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,107,10,208,5.538461538,10.99065421,0
13,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,192,106,10,208,6.857142857,10.86792453,0
14,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,191,105,10,208,6.8,10.91428571,0
15,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,187,104,10,208,7.875,10.78846154,0
16,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,186,103,10,208,7.764705882,10.83495146,0
17,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,180,102,10,208,9.333333333,10.58823529,0
18,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,179,101,10,208,9.157894737,10.63366337,0
19,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,173,100,10,208,10.5,10.38,0
20,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,171,99,10,208,10.57142857,10.36363636,0
21,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,170,98,10,208,10.36363636,10.40816327,0
22,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,170,97,10,208,9.913043478,10.51546392,0
23,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,169,96,10,208,9.75,10.5625,0
24,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,165,95,10,208,10.32,10.42105263,0
25,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,165,95,10,208,10.32,10.42105263,0
26,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,165,94,10,208,9.923076923,10.53191489,0
27,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,165,93,10,208,9.555555556,10.64516129,0
28,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,164,92,10,208,9.428571429,10.69565217,0
29,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,164,91,10,208,9.103448276,10.81318681,0
30,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,164,90,10,208,8.8,10.93333333,0
31,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,160,89,10,208,9.290322581,10.78651685,0
32,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,160,89,10,208,9.290322581,10.78651685,0
33,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,156,88,10,208,9.75,10.63636364,0
34,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,156,87,10,208,9.454545455,10.75862069,0
35,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,156,86,9,208,9.176470588,10.88372093,0
36,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,154,85,9,208,9.257142857,10.87058824,0
37,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,154,84,9,208,9,11,0
38,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,154,83,9,208,8.756756757,11.13253012,0
39,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,148,82,9,208,9.473684211,10.82926829,0
40,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,148,81,8,208,9.230769231,10.96296296,0
41,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,148,80,8,208,9,11.1,0
42,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,147,79,8,208,8.926829268,11.16455696,0
43,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,147,78,8,208,8.714285714,11.30769231,0
44,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,143,77,8,208,9.069767442,11.14285714,0
45,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,141,76,8,208,9.136363636,11.13157895,0
46,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,140,75,8,208,9.066666667,11.2,0
47,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,139,74,8,208,9,11.27027027,0
48,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,138,73,8,208,8.936170213,11.34246575,0
49,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,134,72,8,208,9.25,11.16666667,0
50,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,133,71,8,208,9.183673469,11.23943662,0
51,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,132,70,8,208,9.12,11.31428571,0
52,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,132,69,8,208,8.941176471,11.47826087,0
53,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,131,68,8,208,8.884615385,11.55882353,0
54,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,130,67,8,208,8.830188679,11.64179104,0
55,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,124,66,8,208,9.333333333,11.27272727,0
56,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,123,65,8,208,9.272727273,11.35384615,0
57,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,121,65,8,208,9.490909091,11.16923077,0
58,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,117,64,8,208,9.75,10.96875,0
59,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,116,63,8,208,9.684210526,11.04761905,0
60,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,115,62,8,208,9.620689655,11.12903226,0
61,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,115,61,8,208,9.457627119,11.31147541,0
62,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,114,60,8,208,9.4,11.4,0
63,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,110,59,8,208,9.639344262,11.18644068,0
64,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,109,59,8,208,9.737704918,11.08474576,0
65,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,108,58,8,208,9.677419355,11.17241379,0
66,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,107,57,8,208,9.619047619,11.26315789,0
67,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,106,56,8,208,9.5625,11.35714286,0
68,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,102,55,8,208,9.784615385,11.12727273,0
69,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,98,54,8,208,10,10.88888889,0
70,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,97,53,8,208,9.940298507,10.98113208,0
71,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,96,53,8,208,10.02985075,10.86792453,0
72,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,94,52,8,208,10.05882353,10.84615385,0
